descripción,generales,m2totales,ambientes,metros,unidades,banos,datos_principales,ubicación,price,habitaciones,areas_sociales,detail,exteriores,servicios,comment,entrega,title
"Venta Departamento Nuevo de 87.06 m2, 1 cajón de Estacionamiento fijo en semisótano y Elevador, 2 Recámaras con closets, 2 Baños completos. Cocina integral equipada, gabinetes y cubierta de granito, Sala Comedor. En acabados tiene la carpintería en color en chocolate, pasta texturizada en muros, pisos de loseta cerámica y zotehuela con lavadero. Interfón, Vigilancia 24 horas. Informes y Ventas: Ver datos y Ver datos. Créditos Infonavit, Fovissste. Sábado y Domingo: Previa Cita.","Cuartos de servicio 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (1)
Número de departamentos (18)","87 m²
			totales",,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 2,740,500
87m² Superficie de terreno
87m² Superficie construída
2 Recámaras
2 Baños
1 estacionamiento
Antigüedad: A estrenar","Monserrat 22, Coyoacán, México, D.F., Pueblo de los Reyes, Coyoacán","MN 2,740,500","2
			
					Recámaras",,/propiedades/ultimos-departamentos-a-estrenar-delegacion-coyoacan-1106281.html,,"Línea telefónica 
Seguridad privada 
Cisterna 
Calentador de agua 
Gas","Venta Departamento Nuevo de 87.06 m2, 1 cajón de Estacionamiento fijo en semisótano y Elevador, 2 Recámaras con closets, 2 Baños completos. Cocina integral equipada, gabinetes y cubierta de granito, Sala Comedor. En acabados tiene la carpintería en color en chocolate, pasta texturizada en muros, pisos de loseta cerámica y zotehuela con lavadero. Interfón, Vigilancia 24 horas. Informes y Ventas:  y . Créditos Infonavit, Fovissste. Sábado y Domingo: Previa Cita.",totales,Ultimos Departamentos a Estrenar Delegacion Coyoacán
"DEPARTAMENTO DE RECUPERACIÓN BANCARIA ADJUDICADO   LISTO PARA ESCRITURAR REMATE BANCARIO. OPORTUNIDAD ÚNICA DE INCREMENTAR O INICIAR SU PATRIMONIO. EXCELENTE PLUSVALIA!!! REMATE:   $814,220.00 MN CONSTRUCCIÓN 60M2 NO SE ACEPTAN CRÉDITOS DE NINGÚN TIPO , POR SER PROCEDENCIA DE RECUPERACIÓN DE CRÉDITOS HIPOTECARIOS BANCARIOS LA ENTREGA DEL INMUEBLE ES DE 6 A 8 MESES COMO MAXIMO QUE ES EL TIEMPO QUE EL BANCO EXIGE PARA CONCLUIR EL JUICIO Y DAR POSESIÓN DE LA PROPIEDAD AVALÚO: $1,182,620.35 MN CESIÓN: $814,220.00 MN PAGO DE CONTADO NO SE ACEPTA NINGÚN TIPO DE CRÉDITO CARACTERÍSTICAS:  DEPARTAMENTO HABITACIONAL EN SEGUNDO NIVEL, QUE CONSTA DE ESTANCIA-COMEDOR, COCINA, PATIO DE SERVICIO, BAÑO, 2 RECAMARAS Y CAJÓN DE ESTACIONAMIENTO Dirección: CANTERA 253, SANTA ÚRSULA XITLA, TLALPAN, MÉXICO, D.F.","Centros Comerciales Cercanos 
Escuelas Cercanas","60 m²
			totales",,_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
MN 814,220
60m² Superficie de terreno
60m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: de 5 a 10 años",_,"MN 814,220","2
			
					Recámaras",,/propiedades/hermoso-departamento-en-tlalpan-51963328.html,,"Línea telefónica 
Seguridad privada 
Cisterna 
Calentador de agua 
Gas","DEPARTAMENTO DE RECUPERACIÓN BANCARIA ADJUDICADO   LISTO PARA ESCRITURAR REMATE BANCARIO. OPORTUNIDAD ÚNICA DE INCREMENTAR O INICIAR SU PATRIMONIO. EXCELENTE PLUSVALIA!!! REMATE:   $814,220.00 MN CONSTRUCCIÓN 60M2 NO SE ACEPTAN CRÉDITOS DE NINGÚN TIPO , POR SER PROCEDENCIA DE RECUPERACIÓN DE CRÉDITOS HIPOTECARIOS BANCARIOS LA ENTREGA DEL INMUEBLE ES DE 6 A 8 MESES COMO MAXIMO QUE ES EL TIEMPO QUE EL BANCO EXIGE PARA CONCLUIR EL JUICIO Y DAR POSESIÓN DE LA PROPIEDAD AVALÚO: $1,182,620.35 MN CESIÓN: $814,220.00 MN PAGO DE CONTADO NO SE ACEPTA NINGÚN TIPO DE CRÉDITO CARACTERÍSTICAS:  DEPARTAMENTO HABITACIONAL EN SEGUNDO NIVEL, QUE CONSTA DE ESTANCIA-COMEDOR, COCINA, PATIO DE SERVICIO, BAÑO, 2 RECAMARAS Y CAJÓN DE ESTACIONAMIENTO Dirección: CANTERA 253, SANTA ÚRSULA XITLA, TLALPAN, MÉXICO, D.F.",totales,Hermoso Departamento en Tlalpan
"13 modelos diferentes de departamentos tipo Loft, desde 53m2 hasta 130m2. Impresionantes àreas comunes como Spa, Gimnasio, Alberca, Ludoteca, Salón de usos múltiples y Business center.","Elevador(es) (1)
Jardín(es) 
Alberca 
Acabados de Lujo 
Jacuzzi 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque",_,"Bodega(s) (1)
Sauna 
Salón de Fiestas 
Salón de usos múltiples 
Vapor",65 a 118 m² totales,40 unidades,_,"Desarrollo vertical
													
Precio  desde
														
MN 2,846,000
65m² - 118m² Superficie de terreno
65m² - 118m² Superficie construída
1 - 2 Recámaras
Hasta 2 Baños
Hasta 1 Medios baños
Hasta 1 Estacionamientos",_,"MN 2,846,000",1 a 2 Recámaras,Lobby,/propiedades/eleva-2411-52058060.html,"Árboles 
Carril de Nado 
Estacionamiento de visitas 
Roof Garden 
Sky Garden","Gimnasio 
Internet/Wifi 
Circuito Cerrado 
Seguridad contra incendios 
Planta de emergencia 
Área de Juegos Infantiles 
Spa 
Valet Parking 
Conmutador","13 modelos diferentes de departamentos tipo Loft, desde 53m2 hasta 130m2. Impresionantes àreas comunes como Spa, Gimnasio, Alberca, Ludoteca, Salón de usos múltiples y Business center.",Entrega 4° trimestre 2018,Eleva 2411
"High Park Sur Residences, Un estilo de Vida Privilegiado. High Park Sur Residences se levanta como un nuevo ícono en el skyline de la zona sur de la ciudad. El desarrollo de 32 niveles cuenta con 5 exclusivas tipologías de departamentos y una selecta oferta de servicios y amenidades que alcanzan los mayores niveles de exigencia.","Jardín(es) 
Alberca 
Acabados de Lujo 
Centros Comerciales Cercanos",_,"Bodega(s) (1)
Cine 
Salón de Fiestas",86 a 145 m² totales,450 unidades,_,"Desarrollo vertical
													
Precio  desde
														
MN 3,438,200
86m² - 145m² Superficie de terreno
86m² - 145m² Superficie construída
2 - 3 Recámaras
Hasta 3 Baños
Hasta 2 Estacionamientos","Blvd. Adolfo Ruiz Cortinez 5550, Lote IV, Pedregal de Carrasco C.P. O4700, Coyoacán, México, D.F, Pedregal de Carrasco, Coyoacán","MN 3,438,200",2 a 3 Recámaras,,/propiedades/high-park-sur-residences-52042271.html,"Cancha de tenis 
Pista de Jogging","Gimnasio 
Spa","High Park Sur Residences, Un estilo de Vida Privilegiado. High Park Sur Residences se levanta como un nuevo ícono en el skyline de la zona sur de la ciudad. El desarrollo de 32 niveles cuenta con 5 exclusivas tipologías de departamentos y una selecta oferta de servicios y amenidades que alcanzan los mayores niveles de exigencia.",Entrega 4° trimestre 2020,High Park Sur Residences
"° Área Comercial con variedad de productos y servicios. ° Plaza central y áreas verdes con arquitectura de paisaje que brinda un entorno de armonía y calidez. ° Gimnasio operado por Club Sport World incluido en tu mantenimiento. ° Salones de usos múltiples con jardín para fiestas. ° Kinder dentro del desarrollo. ° Juegos infantiles, chapoteadero y futbolito para los peques. ° Ludoteca con juegos didácticos para que tus hijos se diviertan y aprendan. ° Roof garden con vistas panorámicas. Dos cajones de estacionamiento. Excelente ubicación por estar dentro de la zona de Santa Fe, a solo unos minutos de los corporativos y universidades más importantes. Protegemos la naturaleza, contamos con captación de aguas pluviales. Comprometidos con la ecología, permanentemente reciclamos la basura, La Cité cuenta con ductos para la basura orgánica y la basura inorgánica. Desarrollo Pet Friendly y área para mascotas. Vigilancia las 24 horas del día en todas las áreas. Sistema de tarjetas inteligentes donde cada condómino tiene acceso únicamente a su torre y piso. Internet gratis en áreas comunes.","Elevador(es) (1)
Alberca 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Fumadores 
Mascotas 
Cocina integral 
Acceso discapacitados 
Estado de conservación (Excelente)
Piso en el que se encuentra (11)","76 m²
			totales","Bodega(s) (1)
Salón de usos múltiples",_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 3,590,000
76m² Superficie de terreno
76m² Superficie construída
1 recamara
2 Baños
2 Estacionamientos
Antigüedad: A estrenar","Carretera Federal México Toluca 5095,Cuajimalpa, Cuajimalpa de Morelos,Ciudad de México, D.F., Santa Fe Cuajimalpa, Cuajimalpa de Morelos","MN 3,590,000","1
			
					recamara",,/propiedades/departamento-en-santa-fe-la-mejor-vista-de-la-ciudad!-51272604.html,"Asador 
Estacionamiento de visitas","Gimnasio 
Seguridad privada 
Calentador de agua 
Área de Juegos Infantiles 
Gas","° Área Comercial con variedad de productos y servicios. ° Plaza central y áreas verdes con arquitectura de paisaje que brinda un entorno de armonía y calidez. ° Gimnasio operado por Club Sport World incluido en tu mantenimiento. ° Salones de usos múltiples con jardín para fiestas. ° Kinder dentro del desarrollo. ° Juegos infantiles, chapoteadero y futbolito para los peques. ° Ludoteca con juegos didácticos para que tus hijos se diviertan y aprendan. ° Roof garden con vistas panorámicas. Dos cajones de estacionamiento. Excelente ubicación por estar dentro de la zona de Santa Fe, a solo unos minutos de los corporativos y universidades más importantes. Protegemos la naturaleza, contamos con captación de aguas pluviales. Comprometidos con la ecología, permanentemente reciclamos la basura, La Cité cuenta con ductos para la basura orgánica y la basura inorgánica. Desarrollo Pet Friendly y área para mascotas. Vigilancia las 24 horas del día en todas las áreas. Sistema de tarjetas inteligentes donde cada condómino tiene acceso únicamente a su torre y piso. Internet gratis en áreas comunes.",totales,"Departamento en Santa Fe, La Mejor Vista de La Ciudad!"
"Exclusivo desarrollo en del Valle Centro, entre Concepción Beistegui y Torres Adalid. Muy cerca de la glorieta con parque de Mariscal Sucre. Son solo 6 departamentos en 4 niveles. Construcción de acero lo que lo hace un edificio mas fuerte del promedio. Disponibles tenemos: Departamento 101 103.5 m2 habitables mas 11.1 m2 de terazza, 3 recamaras, 2 baños completos, 2 lugares de estacionamientos, precio $4,850,000.00 M.N. Departamento 201 103.5 m2 habitables mas 6.5 m2 de terazza, 3 recamaras, 2 baños completos, 2 lugares de estacionamientos, precio $4,750,000.00 M.N. Departamento Garden Houses 162.1 m2 habitables mas 26 m2 de terraza, distribuido en 2 niveles, 3 recamaras, estudio, 2 baños y medio, 2 lugares de estacionamientos, precio $7,750,000.00 M.N. Pent Houses 301 103.5 m2 habitables mas 11.1 m2 de terraza, mas 60.9 m2 de roof garden privado, con 3 recamaras, 2 baños completos, 2 lugares de estacionamientos, precio $6,200,000.00 M.N. Pent Houses 302 101.1 m2 habitables mas 62.1 m2 de roof garden privado, con 3 recamaras, 2 baños completos, 2 lugares de estacionamientos, precio $5,900,000.00 M.N. Hay disponible 1 roof garden privado y un estacionamiento; a la venta. Entrega para Diciembre del 2016.","Elevador(es) (1)
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas",_,Bodega(s) (4),110 a 188 m² totales,6 unidades,_,"Desarrollo vertical
													
Precio  desde
														
MN 4,750,000
110m² - 188m² Superficie de terreno
101m² - 162m² Superficie construída
3 - 4 Recámaras
Hasta 3 Baños
Hasta 1 Medios baños
Hasta 3 Estacionamientos","Carlos Fernandez 5, Del Valle Centro, Mexico D.F., Del Valle Centro, Benito Juárez","MN 4,750,000",3 a 4 Recámaras,Lobby,/propiedades/pre-venta-en-calle-carlos-fernandez-5-del-valle-51862009.html,,Circuito Cerrado,"Exclusivo desarrollo en del Valle Centro, entre Concepción Beistegui y Torres Adalid. Muy cerca de la glorieta con parque de Mariscal Sucre. Son solo 6 departamentos en 4 niveles. Construcción de acero lo que lo hace un edificio mas fuerte del promedio. Disponibles tenemos: Departamento 101 103.5 m2 habitables mas 11.1 m2 de terazza, 3 recamaras, 2 baños completos, 2 lugares de estacionamientos, precio $4,850,000.00 M.N. Departamento 201 103.5 m2 habitables mas 6.5 m2 de terazza, 3 recamaras, 2 baños completos, 2 lugares de estacionamientos, precio $4,750,000.00 M.N. Departamento Garden Houses 162.1 m2 habitables mas 26 m2 de terraza, distribuido en 2 niveles, 3 recamaras, estudio, 2 baños y medio, 2 lugares de estacionamientos, precio $7,750,000.00 M.N. Pent Houses 301 103.5 m2 habitables mas 11.1 m2 de terraza, mas 60.9 m2 de roof garden privado, con 3 recamaras, 2 baños completos, 2 lugares de estacionamientos, precio $6,200,000.00 M.N. Pent Houses 302 101.1 m2 habitables mas 62.1 m2 de roof garden privado, con 3 recamaras, 2 baños completos, 2 lugares de estacionamientos, precio $5,900,000.00 M.N. Hay disponible 1 roof garden privado y un estacionamiento; a la venta. Entrega para Diciembre del 2016.",Entrega 4° trimestre 2016,"Pre Venta en Calle Carlos Fernandez 5, del Valle Centro"
"Ubicado en City Towers Grand Park uno de los desarrollos mas exclusivos de la CDMX con gran plusvalia. Con una medida de 85m2, 2 recámaras y 2 baños completos, amplia estancia y comedor, cocina integral y area de lavado. El departamento cuenta con excelentes acabados y buenos espacios, impecable y listo para habitarse. 2 LUGARES DE ESTACIONAMIENTO. Algunas de sus amenidades son: Gimnasio, Alberca Asoleadero, Alberca de nado, Chapoteadero, Spinning, Sala de pilates, Salón de juegos, Salón inglés, Sala de cine, Cine al aire libre, Boliche, Arcade, Kids Club, Salón de eventos, Business Center, Sky Lounge, Tee de Práctica, Padel, Sky Gym, Mini Mart , Capilla, Verdadero Roof Garden con asadores, Spa, Estética, Seguridad Privada las 24 hrs del día, y mas... , CONOZCALO!!! EXCELENTE OPORTUNIDAD","Amueblado 
Elevador(es) (1)
Alberca 
Jacuzzi 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Mascotas 
Cocina integral 
Acceso discapacitados 
Acceso tercera edad 
Estado de conservación (Excelente)
M² de jardín (1000)
Piso en el que se encuentra (6)
Ubicación (Interior)","85 m²
			totales","Estudio 
Sala de música y cine 
Salón de Fiestas 
Salón de usos múltiples 
Cuarto de TV",_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 3,930,000
85m² Superficie de terreno
85m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: 1 año","Eje 8 Sur (Av. Popocatépetl) 474, Benito Juárez, Xoco,  Ciudad de México, D.F., Xoco, Benito Juárez","MN 3,930,000","2
			
					Recámaras",,/propiedades/amplio-departamento-con-amenidades-inigualables-city-52136444.html,"Asador 
Cancha de tenis 
Estacionamiento de visitas","Gimnasio 
Seguridad privada 
Cisterna 
Calentador de agua 
Área de Juegos Infantiles 
Gas","Ubicado en City Towers Grand Park uno de los desarrollos mas exclusivos de la CDMX con gran plusvalia. Con una medida de 85m2, 2 recámaras y 2 baños completos, amplia estancia y comedor, cocina integral y area de lavado. El departamento cuenta con excelentes acabados y buenos espacios, impecable y listo para habitarse. 2 LUGARES DE ESTACIONAMIENTO. Algunas de sus amenidades son: Gimnasio, Alberca Asoleadero, Alberca de nado, Chapoteadero, Spinning, Sala de pilates, Salón de juegos, Salón inglés, Sala de cine, Cine al aire libre, Boliche, Arcade, Kids Club, Salón de eventos, Business Center, Sky Lounge, Tee de Práctica, Padel, Sky Gym, Mini Mart , Capilla, Verdadero Roof Garden con asadores, Spa, Estética, Seguridad Privada las 24 hrs del día, y mas... , CONOZCALO!!! EXCELENTE OPORTUNIDAD",totales,Amplio Departamento con Amenidades Inigualables - City Towers Grand
"Grupo Bosques Vende Precioso PH estilo Minimalista/Neoyorkino 182 m2 dos baños y medio, dos recámaras con vestidores, sala, comedor, patio y cuarto de servicio, vigilancia 24 hrs. patio central con espejo de agua espacio para descanso/asoliadero, salón de usos multiple con jardín, bodega y terraza de 52 m2 en obra blanca. entrega agosto 2017",,"182 m²
			totales",Estudio (SI),_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
U$D 875,100
182m² Superficie de terreno
182m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: A estrenar",_,"U$D 875,100","2
			
					Recámaras",,/propiedades/precioso-ph-a-estrenar-en-venta-en-polanco-miguel-51542839.html,,Cisterna (SI),"Grupo Bosques Vende Precioso PH estilo Minimalista/Neoyorkino 182 m2 dos baños y medio, dos recámaras con vestidores, sala, comedor, patio y cuarto de servicio, vigilancia 24 hrs. patio central con espejo de agua espacio para descanso/asoliadero, salón de usos multiple con jardín, bodega y terraza de 52 m2 en obra blanca. entrega agosto 2017",totales,"Precioso PH a Estrenar en Venta en Polanco, Miguel Hidalgo, México D. F."
"Grupo Bosques Vende Precioso Departamento Estilo Minimalista/Neuyorkino en edificio con patio central con espejo de agua, espacio para descanso/asoleadero, 136 m2, sala, comedor, dos recámaras, dos baños y medio, cocina equipada, cuarto de servicio, patio de servicio, en obra blanca, estudio tv, para estrenar y vigilancia las 24 hrs.",,"136 m²
			totales",Estudio (1),_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
U$D 923,750
136m² Superficie de terreno
136m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: A estrenar",_,"U$D 923,750","2
			
					Recámaras",,/propiedades/precioso-departamento-en-venta-en-polanco-miguel-51542841.html,,Cisterna (1),"Grupo Bosques Vende Precioso Departamento Estilo Minimalista/Neuyorkino en edificio con patio central con espejo de agua, espacio para descanso/asoleadero, 136 m2, sala, comedor, dos recámaras, dos baños y medio, cocina equipada, cuarto de servicio, patio de servicio, en obra blanca, estudio tv, para estrenar y vigilancia las 24 hrs.",totales,"Precioso Departamento en Venta en Polanco, Miguel Hidalgo, México D. F."
"Departamento En Excelente Ubicacion Entrega Inmediata 3 recámaras, 2 de ellas con baño y clóset 1 Estudio Acabados de lujo Cocina con cubierta de granito Doble tarja Campana Piso de duela Baños con acabados en ónix Si cuentas con el 35% del valor de la propiedad, el resto podemos negociarlo","Elevador(es) (1)
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque",_,,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 3,000,000
200m² Superficie de terreno
125m² Superficie construída
3 Recámaras
2 Baños
2 Medios baños
2 Estacionamientos
Antigüedad: 3 años",_,"MN 3,000,000","3
			
					Recámaras",,/propiedades/bonito-departamento-en-colonia-napoles-52167183.html,,"Gimnasio 
Aire acondicionado 
Seguridad privada 
Calefacción","Departamento En Excelente Ubicacion Entrega Inmediata 3 recámaras, 2 de ellas con baño y clóset 1 Estudio Acabados de lujo Cocina con cubierta de granito Doble tarja Campana Piso de duela Baños con acabados en ónix Si cuentas con el 35% del valor de la propiedad, el resto podemos negociarlo",construidos,Bonito Departamento en Colonia Nápoles
"SANTA URSULA XITLA/DEPARTAMENTO60M2/1 CAJON DE ESTACIONAMIENTO/SALA-COMEDOR/COCINA/2 RECAMARAS/1 BAÑO COMPLETO/PATIO DE SERVICIO.Este inmueble es una venta bancaria, su pago de contado. Todo el proceso ante Notario público.www.inmuebleshahn.com. Con más de 30 años de experiencia. Somos bróker Bancarios. No se piden apartados, ni anticipos.Tenemos oportunidades rigurosamente pago de contado- otros donde puede ejercer cualquier tipo de crédito. CONTAMOS CON INMUEBLES EN RENTA-CRÉDITOS INMOBILIARIOS Y CRÉDITOS DE LIQUIDEZ","Cuartos de servicio (SI)
Frente a parque (SI)",_,,_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
MN 692,087
72m² Superficie de terreno
60m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: de 10 a 20 años","CANTERA No- 253, Santa Úrsula Xitla, Tlalpan","MN 692,087","2
			
					Recámaras",,/propiedades/colonia-santa-ursula-xitla-residencial-fuentes-de-583925.html,,Cisterna (SI),"SANTA URSULA XITLA/DEPARTAMENTO60M2/1 CAJON DE ESTACIONAMIENTO/SALA-COMEDOR/COCINA/2 RECAMARAS/1 BAÑO COMPLETO/PATIO DE SERVICIO.Este inmueble es una venta bancaria, su pago de contado. Todo el proceso ante Notario público.www.inmuebleshahn.com. Con más de 30 años de experiencia. Somos bróker Bancarios. No se piden apartados, ni anticipos.Tenemos oportunidades rigurosamente pago de contado- otros donde puede ejercer cualquier tipo de crédito. CONTAMOS CON INMUEBLES EN RENTA-CRÉDITOS INMOBILIARIOS Y CRÉDITOS DE LIQUIDEZ",construidos,"Colonia Santa Ursula Xitla Residencial Fuentes de Cantera, Delegacion Tlalpan Mexico D. F. Departamen"
"DEPTO. CON ACABADOS DE LUJO, CONSTA DE SALA Y COMEDOR AMPLIOS, COCINA EQUIPADA, AREA DE LAVADO, 3 RECAMARAS, LA PRINCIPAL CON VESTIDOR Y BAÑO, ROOF GARDEN. ELEVADOR, CISTERNA.","Elevador(es) (1)
Cocina integral 
Estado de conservación (Excelente)
Número de departamentos (15)","111 m²
			totales",,_,_,"2
		
				Baños","Departamento
													
Precio Venta
																	
MN 5,235,000
111m² Superficie de terreno
111m² Superficie construída
3 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: A estrenar","VIADUCTO, COL. NAPOLES, MEXICO, D. F., Ampliación Napoles, Benito Juárez","MN 5,235,000","3
			
					Recámaras",,/propiedades/ampliacion-napoles-52041921.html,,"Seguridad privada 
Cisterna 
Calentador de agua 
Gas","DEPTO. CON ACABADOS DE LUJO, CONSTA DE SALA Y COMEDOR AMPLIOS, COCINA EQUIPADA, AREA DE LAVADO, 3 RECAMARAS, LA PRINCIPAL CON VESTIDOR Y BAÑO, ROOF GARDEN. ELEVADOR, CISTERNA.",totales,Ampliacion Napoles
"OFERTA, CASA EN VENTA. VALOR DE REMATE. RECUPERACIÓN BANCARIA. NO CRÉDITOS. PAGO AL FIRMAR LA CESIÓN DE DERECHOS ANTE NOTARIO PÚBLICO. APARTELO CON EL 10%. MAGNIFICA OPORTUNIDAD DE INVERSION AL 60% DE SU VALOR REAL. ENTREGA 12 MESES, CONTÁCTENOS PARA PROGRAMAR UNA CITA EN NUESTRAS OFICINAS Y DARLE MAYOR INFORMACIÓN. ADEMAS CONTAMOS CON UNA GRAN VARIEDAD DE PROPIEDADES EN INVENTARIO EN VENTA DIRECTA. PREGUNTE POR LA ZONA DE SU PREFERENCIA. LLAMENOS Y CON MUCHO GUSTO PODEMOS PROGRAMAR UNA CITA. ALEJANDRO RAMIREZ SANTIAGO Consultor Patrimonial Col. Polanco IV Secc, Ver datos, Ciudad de México Ver datos4525 Ver datos http://www.consultorescap.nocnok.com http://www.inmueblesintegrales.nocnok.com","Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Cocina integral","60 m²
			totales",,_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
MN 1,150,000
60m² Superficie de terreno
60m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: de 5 a 10 años",_,"MN 1,150,000","2
			
					Recámaras",,/propiedades/departamento-en-remate-en-calle-sur-4-261-agricola-52135230.html,,"Línea telefónica 
Seguridad privada 
Cisterna 
Calentador de agua 
Gas","OFERTA, CASA EN VENTA. VALOR DE REMATE. RECUPERACIÓN BANCARIA. NO CRÉDITOS. PAGO AL FIRMAR LA CESIÓN DE DERECHOS ANTE NOTARIO PÚBLICO. APARTELO CON EL 10%. MAGNIFICA OPORTUNIDAD DE INVERSION AL 60% DE SU VALOR REAL. ENTREGA 12 MESES, CONTÁCTENOS PARA PROGRAMAR UNA CITA EN NUESTRAS OFICINAS Y DARLE MAYOR INFORMACIÓN. ADEMAS CONTAMOS CON UNA GRAN VARIEDAD DE PROPIEDADES EN INVENTARIO EN VENTA DIRECTA. PREGUNTE POR LA ZONA DE SU PREFERENCIA. LLAMENOS Y CON MUCHO GUSTO PODEMOS PROGRAMAR UNA CITA. ALEJANDRO RAMIREZ SANTIAGO Consultor Patrimonial Col. Polanco IV Secc, , Ciudad de México 4525  http://www.consultorescap.nocnok.com http://www.inmueblesintegrales.nocnok.com",totales,"Departamento en Remate en Calle Sur 4 261 Agricola Oriental, mexico D. F."
"OFERTA, DEPARTAMENTO EN VENTA. VALOR DE REMATE. RECUPERACIÓN BANCARIA. NO CRÉDITOS. PAGO AL FIRMAR LA CESIÓN DE DERECHOS ANTE NOTARIO PÚBLICO. APARTELO CON EL 10%. MAGNIFICA OPORTUNIDAD DE INVERSION AL 60% DE SU VALOR REAL. ENTREGA 12 MESES, CONTÁCTENOS PARA PROGRAMAR UNA CITA EN NUESTRAS OFICINAS Y DARLE MAYOR INFORMACIÓN. ADEMAS CONTAMOS CON UNA GRAN VARIEDAD DE PROPIEDADES EN INVENTARIO DE VENTA DIRECTA. PREGUNTE POR LA ZONA DE SU PREFERENCIA. LLAMENOS Y CON MUCHO GUSTO PODEMOS PROGRAMAR UNA CITA. ALEJANDRO RAMIREZ SANTIAGO Consultor Patrimonial Andres Bello No.45 Col. Polanco IV Secc, Ver datos, Ciudad de México Ver datos4525 Ver datos http://www.consultorescap.nocnok.com","Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Cocina integral 
Estado de conservación (Excelente)","85 m²
			totales",,_,_,"1
		
				Baño","Departamento
													
Precio Venta
																	
MN 850,000
85m² Superficie de terreno
85m² Superficie construída
2 Recámaras
1 Baño
1 Medio baño
1 estacionamiento
Antigüedad: de 10 a 20 años","BENITO JUAREZ 23 DEPTO 202 VIEJO EJIDO DE STA URSULA MEXICO D.F., Ex-Ejido de Santa Ursula Coapa, Coyoacán","MN 850,000","2
			
					Recámaras",,/propiedades/oportunidad-remate-departamento-en-benito-juarez-23-52126455.html,,"Línea telefónica 
Seguridad privada 
Cisterna 
Calentador de agua 
Gas","OFERTA, DEPARTAMENTO EN VENTA. VALOR DE REMATE. RECUPERACIÓN BANCARIA. NO CRÉDITOS. PAGO AL FIRMAR LA CESIÓN DE DERECHOS ANTE NOTARIO PÚBLICO. APARTELO CON EL 10%. MAGNIFICA OPORTUNIDAD DE INVERSION AL 60% DE SU VALOR REAL. ENTREGA 12 MESES, CONTÁCTENOS PARA PROGRAMAR UNA CITA EN NUESTRAS OFICINAS Y DARLE MAYOR INFORMACIÓN. ADEMAS CONTAMOS CON UNA GRAN VARIEDAD DE PROPIEDADES EN INVENTARIO DE VENTA DIRECTA. PREGUNTE POR LA ZONA DE SU PREFERENCIA. LLAMENOS Y CON MUCHO GUSTO PODEMOS PROGRAMAR UNA CITA. ALEJANDRO RAMIREZ SANTIAGO Consultor Patrimonial Andres Bello No.45 Col. Polanco IV Secc, , Ciudad de México 4525  http://www.consultorescap.nocnok.com",totales,Oportunidad Remate Departamento en Benito Juarez 23 Viejo Ejido de Sta Ursula
