"_type","ambientes","banos","comment","datos_principales","descripción","detail","entrega","exteriores","generales","habitaciones","m2totales","metros","price","servicios","title","ubicación","unidades"
"Inmuebles24Item","Salón de Fiestas","_","Desarrollo en pre- venta en Avenida Alfonso Reyes . El complejo de usos mixtos cuenta con 21 Locales comerciales en 4 niveles. desde 40 m2 hasta 396m2 y 5 niveles de departamentos desde 55 m2 hasta 140 m2 .","Desarrollo vertical
													
Precio  desde
														
MN 1,793,595
52m² - 55m² Superficie de terreno
52m² - 55m² Superficie construída
0 - 1 Recámaras
Hasta 1 Baños
Hasta 1 Estacionamientos","Desarrollo en pre- venta en Avenida Alfonso Reyes . El complejo de usos mixtos cuenta con 21 Locales comerciales en 4 niveles. desde 40 m2 hasta 396m2 y 5 niveles de departamentos desde 55 m2 hasta 140 m2 .","/propiedades/alfonso-reyes-51906887.html","Entrega 1° trimestre 2018","Estacionamiento de visitas 
Sky Garden","Elevador(es) (1)
Acabados de Lujo 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas","1 recamara","_","52 a 55 m² totales","MN 1,793,595","","Alfonso Reyes","Alfonso Reyes #, Contry, Monterrey","29 unidades"
"Inmuebles24Item","","1
		
				Baño","Muy bien ubicados, cerca de avenidas principales, centros comerciales y escuelas. Cuatro departamentos que constan cada uno de dos recámaras, sala, comedor, cocina, 1 baño y lavandería. 90m2 aprox. cada departamento. Se venden los 4 están en un terreno de 20 x 15.","Departamento
													
Precio Venta
																	
MN 6,300,000
300m² Superficie de terreno
360m² Superficie construída
2 Recámaras
1 Baño
2 Estacionamientos
Antigüedad: de 10 a 20 años","Muy bien ubicados, cerca de avenidas principales, centros comerciales y escuelas. Cuatro departamentos que constan cada uno de dos recámaras, sala, comedor, cocina, 1 baño y lavandería. 90m2 aprox. cada departamento. Se venden los 4 están en un terreno de 20 x 15.","/propiedades/departamentos-col.-florida-excelentes-para-renta-a-52069017.html","construidos","","Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Número de departamentos (4)
Ubicación (Frente)","2
			
					Recámaras","_","_","MN 6,300,000","","Departamentos Col. Florida, Excelentes Para Renta a Estudiantes del Tec.","José Alvarado, La Florida, Monterrey","_"
"Inmuebles24Item","","1
		
				Baño","Departamento Ubicadísimo en San Jerónimo, en calle con salida a vías rápidas, centros comerciales y a dos minutos de San Pedro, 2 cajones de estacionamiento.2 recamarasCocina encinoBaño completo + Medio bañoLavanderíaCocina ComedorUn cuarto AdicionalMinisplits frio calor en todas las areas.Ventanas de doble cristal2 cajones de estacionamientoTecho impermeabilizado con carpetaTecho aislado termicamente","Departamento
													
Precio Venta
																	
MN 1,900,000
88m² Superficie de terreno
113m² Superficie construída
2 Recámaras
1 Baño
1 Medio baño
2 Estacionamientos
Antigüedad: de 10 a 20 años","Departamento Ubicadísimo en San Jerónimo, en calle con salida a vías rápidas, centros comerciales y a dos minutos de San Pedro, 2 cajones de estacionamiento.2 recamarasCocina encinoBaño completo + Medio bañoLavanderíaCocina ComedorUn cuarto AdicionalMinisplits frio calor en todas las areas.Ventanas de doble cristal2 cajones de estacionamientoTecho impermeabilizado con carpetaTecho aislado termicamente","/propiedades/departamento-venta-san-jeronimo-monterrey-nuevo-leon-51638121.html","construidos","","Centros Comerciales Cercanos (SI)
Escuelas Cercanas (SI)
Frente a parque (SI)","2
			
					Recámaras","_","_","MN 1,900,000","","Departamento Venta San Jeronimo Monterrey Nuevo Leon","Jardines de San Jerónimo #213, Monterrey","_"
"Inmuebles24Item","","2
		
				Baños","Excelente Ubicación, cerca de la U.A.N.L. Departamento 2do Nivel Lavandería Techada Fraccionamiento Privado Caseta de Vigilancia Estacionamiento para 1 Auto Aceptamos todo tipo de crédito.","Departamento
													
Precio Venta
																	
MN 990,000
69m² Superficie de terreno
69m² Superficie construída
3 Recámaras
2 Baños
1 estacionamiento
Antigüedad: de 5 a 10 años","Excelente Ubicación, cerca de la U.A.N.L. Departamento 2do Nivel Lavandería Techada Fraccionamiento Privado Caseta de Vigilancia Estacionamiento para 1 Auto Aceptamos todo tipo de crédito. Ver datos Ver datos","/propiedades/departamento-en-venta-en-centrika-monterrey-52125144.html","totales","","Centros Comerciales Cercanos","3
			
					Recámaras","69 m²
			totales","_","MN 990,000","Línea telefónica 
Seguridad privada 
Área de Juegos Infantiles 
Gas","Departamento en Venta en Centrika Monterrey","Victoria Real, Centrika Victoria, Monterrey","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de Fiestas 
Salón de usos múltiples 
Cuarto de TV","2
		
				Baños","Moderno departamento amueblado, 2 habitaciones mas estancia, sala comedor, baño de visitas, balcon con vista a la ciudad, cocina totalmente equipada, lavanderia con centro de lavado,bodega. habitacion principal con amplio vestidor y baño, cama king size, habitacion secundaria con 2 camas full, closet de pared a pared y baño. Edificio con vigilancia 24 horas, camaras de seguridad, alberca, gym, jardin, salon de eventos con terraza en ultimo piso, asadores cerca de la alberca. 2 puestos de estacionamiento, estacionamiento para visitantes. Excelente ubicacion.","Departamento
													
Precio Venta
																	
MN 3,300,000Precio Renta
																	
MN 19,800
126m² Superficie de terreno
126m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: 4 años","Moderno departamento amueblado, 2 habitaciones mas estancia, sala comedor, baño de visitas, balcon con vista a la ciudad, cocina totalmente equipada, lavanderia con centro de lavado,bodega. habitacion principal con amplio vestidor y baño, cama king size, habitacion secundaria con 2 camas full, closet de pared a pared y baño. Edificio con vigilancia 24 horas, camaras de seguridad, alberca, gym, jardin, salon de eventos con terraza en ultimo piso, asadores cerca de la alberca. 2 puestos de estacionamiento, estacionamiento para visitantes. Excelente ubicacion.","/propiedades/departamento-en-renta-venta-en-colonia-los-doctores-52074804.html","totales","Asador 
Estacionamiento de visitas","Amueblado 
Elevador(es) (1)
Alberca 
Cuartos de servicio 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Cocina integral 
Acceso discapacitados 
Acceso tercera edad 
Estado de conservación (Excelente)","2
			
					Recámaras","126 m²
			totales","_","MN 3,300,000","Gimnasio 
Línea telefónica 
Aire acondicionado 
Seguridad privada 
Cisterna 
Calentador de agua 
Gas 
Calefacción","Departamento en Renta Venta en Colonia Los Doctores Monterrey","_","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de Fiestas 
Salón de usos múltiples","1
		
				Baño","Venta Departamento ubicado en zona exclusiva de Monterrey : TORRE MICROPOLIS , dimensiones: interior 76.76 m2 , exterior 12.93 m2 , cajon de estacionamiento No. 216 de 13.92 m2 y bodega No. 68 de 9.90 m2 , total de 113.52 m2. SUPER EQUIPADO cuenta con : 1 recamara con vestidor , 1 baño, sala comedor con 4 sillas , cocina integral con granito, aire acondicionado VRF, centro de lavado vertical, cama king size , 7 persianas BLA , 2 pantallas de 32"", refrigerador, microondas, mini componente , amenidades ( alberca , GYM , salones de fiestas , blender , etc ) cuenta con una terraza con vista al Cerro de la Silla de 12.93m2 en el piso 11 , cajon de estacionamiento y una bodega grande de 9.90 m2 , excelente ubicacion a 800 mts del ITSEM zona Tec y centros comerciales, tanto alrededor como en la parte inferior del edificio , esta asegurado y tiene todas sus obligaciones cumplidas. Tienes que conocerlo te encantara !!!!!! , haz tu cita al 346 con el Sr. Zavat Baca , somos Inmuebla ZaDa el lado humano de los bienes raices.","Departamento
													
Precio Venta
																	
MN 3,195,000
90m² Superficie de terreno
113m² Superficie construída
1 recamara
1 Baño
1 estacionamiento
Antigüedad: 2 años","Venta Departamento ubicado en zona exclusiva de Monterrey : TORRE MICROPOLIS , dimensiones: interior 76.76 m2 , exterior 12.93 m2 , cajon de estacionamiento No. 216 de 13.92 m2 y bodega No. 68 de 9.90 m2 , total de 113.52 m2. SUPER EQUIPADO cuenta con : 1 recamara con vestidor , 1 baño, sala comedor con 4 sillas , cocina integral con granito, aire acondicionado VRF, centro de lavado vertical, cama king size , 7 persianas BLA , 2 pantallas de 32"", refrigerador, microondas, mini componente , amenidades ( alberca , GYM , salones de fiestas , blender , etc ) cuenta con una terraza con vista al Cerro de la Silla de 12.93m2 en el piso 11 , cajon de estacionamiento y una bodega grande de 9.90 m2 , excelente ubicacion a 800 mts del ITSEM zona Tec y centros comerciales, tanto alrededor como en la parte inferior del edificio , esta asegurado y tiene todas sus obligaciones cumplidas. Tienes que conocerlo te encantara !!!!!! , haz tu cita al Ver datos346 con el Sr. Zavat Baca , somos Inmuebla ZaDa el lado humano de los bienes raices.","/propiedades/departamento-en-venta-zona-tec-monterrey-torre-52133687.html","construidos","Asador","Elevador(es) (1)
Alberca 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Cocina integral","1
			
					recamara","_","_","MN 3,195,000","Gimnasio 
Aire acondicionado 
Seguridad privada","Departamento en Venta Zona Tec Monterrey Torre Micropolis","Ave. Eugenio Garza Sada No. Departamento, Mas Palomas (Valle de Santiago), Monterrey","_"
"Inmuebles24Item","","2
		
				Baños","ID:, Amplios y acogedores departamentos de 2 y 3 recámaras, cuarto de lavandería, estancia familiar opcional, cuarto de servicio opcional, jardines, muchas áreas sociales comunes para tu comodidad y la de tu familia… Excelente para vivirlo y disfrutarlo; muy productivo como inversión!! PRECIOS EN OBRA BLANCA (yeso) con muros interiores, plafón, preparación para clima seccionado, cableado eléctrico* 126 m2 ** 2 recámaras** 2 baños**cuarto de lavandería** 2 cajones estacionamiento** bodega *DESDE 6,090,447 HASTA $8,230,593","Departamento
													
Precio Venta
																	
MN 4,309,300
126m² Superficie de terreno
126m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: 1 año","ID:Ver datos, Amplios y acogedores departamentos de 2 y 3 recámaras, cuarto de lavandería, estancia familiar opcional, cuarto de servicio opcional, jardines, muchas áreas sociales comunes para tu comodidad y la de tu familia… Excelente para vivirlo y disfrutarlo; muy productivo como inversión!! PRECIOS EN OBRA BLANCA (yeso) con muros interiores, plafón, preparación para clima seccionado, cableado eléctrico* 126 m2 ** 2 recámaras** 2 baños**cuarto de lavandería** 2 cajones estacionamiento** bodega *DESDE 6,090,447 HASTA $8,230,593","/propiedades/departamentos-en-venta-valle-san-pedro-garza-garcia-52057758.html","totales","","","2
			
					Recámaras","126 m²
			totales","_","MN 4,309,300","","Departamentos en Venta, Valle San Pedro Garza Garcia, N. L.","_","_"
"Inmuebles24Item","","3
		
				Baños","ID:, VISTA ESPECTACULAR, FACHADA PANORAMICA, LAVANDERIA Y CUARTO DE SERVICIO SALON DE EVENTOS,2 DEPARAMENTOS POR NIVEL, CASETA DE VIGILANCIA, CAMARAS DE CIRCUITO CERRADO EN ESTACIONAMIENTO Y ACCESO, 3 PENTHOUSE POR TORRE,","Departamento
													
Precio Venta
																	
MN 4,000,000
160m² Superficie de terreno
160m² Superficie construída
3 Recámaras
3 Baños
2 Estacionamientos
Antigüedad: 1 año","ID:Ver datos, VISTA ESPECTACULAR, FACHADA PANORAMICA, LAVANDERIA Y CUARTO DE SERVICIO SALON DE EVENTOS,2 DEPARAMENTOS POR NIVEL, CASETA DE VIGILANCIA, CAMARAS DE CIRCUITO CERRADO EN ESTACIONAMIENTO Y ACCESO, 3 PENTHOUSE POR TORRE,","/propiedades/departamentos-san-jeronimo-en-una-excelente-ubicacion-52057815.html","totales","","","3
			
					Recámaras","160 m²
			totales","_","MN 4,000,000","","Departamentos San Jeronimo, en Una Excelente Ubicacion","_","_"
"Inmuebles24Item","Salón de usos múltiples 
Cuarto de TV","2
		
				Baños","Excelente y muy amplio Penth House con una magnifica vista panoramica muy buena distribución ubicado en el 5to. piso; cuenta con 2 recamaras, 2 1/2 baños, 2 lugares de estacionamiento, área de lavandería, cuarto de servicio,cuarto de planchado, cocina integral, cuarto de TV, pisos de porcelanato, estacionamiento para visitas. No amueblado, cuota de mantenimiento de $1,500.00. El edificio tiene Bussines Center.","Departamento
													
Precio Venta
																	
MN 4,500,000
152m² Superficie de terreno
152m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: de 5 a 10 años","Excelente y muy amplio Penth House con una magnifica vista panoramica muy buena distribución ubicado en el 5to. piso; cuenta con 2 recamaras, 2 1/2 baños, 2 lugares de estacionamiento, área de lavandería, cuarto de servicio,cuarto de planchado, cocina integral, cuarto de TV, pisos de porcelanato, estacionamiento para visitas. No amueblado, cuota de mantenimiento de $1,500.00. El edificio tiene Bussines Center.","/propiedades/increible-y-amplio-penth-house-en-venta-en-san-pedro-52056289.html","totales","Estacionamiento de visitas","Elevador(es) (1)
Cuartos de servicio 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (5)","2
			
					Recámaras","152 m²
			totales","_","MN 4,500,000","Seguridad privada 
Cisterna 
Calentador de agua 
Gas 
Calefacción","Increible y Amplio Penth House en Venta en San Pedro Nuevo León Monterrey","_","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de Fiestas (SI)
Salón de usos múltiples (SI)","1
		
				Baño","Un nuevo desarrollo inmobiliario que consta de 22 Departamentos en donde el diseño y la comodidad conviven de forma inigualable y se alzan con remarcable presencia sobre una de las zonas más exclusivas de la ciudad. Encuentra la tranquilidad y el confort de un espacio vertical con todos los servicios y amenidades que una vida de vanguardia requiere. AMENIDADES:* Alberca, * Gimnasio, * Terraza Exterior, * Salón de Juegos y Entretenimiento.* Lobby de Acceso Peatonal,* Salón de Eventos con Terraza* Solario en nivel 15SERVICIOS:* 2 Cajones Techados de Estacionamiento por Departamentos, * 9 Cajones para Visitas, * 1 Cajones para Discapacitados, * 1 Bodega por Departamento.* Caseta de Vigilancia Acceso Controlado, * Barda Perimetral, * 2 Elevadores Alta Eficiencia al Interior de Departamento, Los departamentos se entregan llave en mano, incluyendo desde acabados de primera línea, closet, cocina, centro de lavado, canceles duo vent,  DEPARTAMENTO DE 96 M2 + 18M2 DE TERRAZA Y 6.5 M2 DE BODEGA:* Sala* Comedor* Cocina* Recamara Principal Baño-Vestidor* Recamara Secundaria comparta Baño con Area Social* Bodega* Los precios del departamento varían a las necesidades del cliente. Se entregan en Noviembre del 2016.","Departamento
													
Precio Venta
																	
MN 4,320,750
96m² Superficie de terreno
96m² Superficie construída
2 Recámaras
1 Baño
Antigüedad: A estrenar","Un nuevo desarrollo inmobiliario que consta de 22 Departamentos en donde el diseño y la comodidad conviven de forma inigualable y se alzan con remarcable presencia sobre una de las zonas más exclusivas de la ciudad. Encuentra la tranquilidad y el confort de un espacio vertical con todos los servicios y amenidades que una vida de vanguardia requiere. AMENIDADES:* Alberca, * Gimnasio, * Terraza Exterior, * Salón de Juegos y Entretenimiento.* Lobby de Acceso Peatonal,* Salón de Eventos con Terraza* Solario en nivel 15SERVICIOS:* 2 Cajones Techados de Estacionamiento por Departamentos, * 9 Cajones para Visitas, * 1 Cajones para Discapacitados, * 1 Bodega por Departamento.* Caseta de Vigilancia Acceso Controlado, * Barda Perimetral, * 2 Elevadores Alta Eficiencia al Interior de Departamento, Los departamentos se entregan llave en mano, incluyendo desde acabados de primera línea, closet, cocina, centro de lavado, canceles duo vent,  DEPARTAMENTO DE 96 M2 + 18M2 DE TERRAZA Y 6.5 M2 DE BODEGA:* Sala* Comedor* Cocina* Recamara Principal Baño-Vestidor* Recamara Secundaria comparta Baño con Area Social* Bodega* Los precios del departamento varían a las necesidades del cliente. Se entregan en Noviembre del 2016.","/propiedades/departamentos-en-preventa-san-pedro-garza-garcia-n.-582282.html","totales","Asador (SI)
Estacionamiento de visitas (SI)","Elevador(es) (2)
Alberca (SI)
Centros Comerciales Cercanos (SI)
Escuelas Cercanas (SI)
Frente a parque (SI)
Acceso discapacitados (SI)
Estado de conservación (Excelente)","2
			
					Recámaras","96 m²
			totales","_","MN 4,320,750","Gimnasio (SI)
Seguridad privada (SI)
Área de Juegos Infantiles (SI)","Departamentos en Preventa San Pedro Garza Garcia, N. L. $4,320,750","_","_"
"Inmuebles24Item","","1
		
				Baño","REMATE BANCARIO DE DEPARTAMENTO EN SEGUNDO PISO,FUNDIDORA MONTERREY, COLONIA PEÑON DE LOS BAÑOS, DELEGAC. VENUSTIANO CARRANZA. SON 75M2, 2 RECÁMARAS, 1 BAÑO, SALA, ESTANCIA-COMEDOR, 1 LUGAR DE ESTACIONAMIENTO. ELEVADOR. ANTIGUEDAD 12 AÑOS. VALOR MINIMO COMERCIAL $1,800.000 PRECIO DE REMATE $461,426 LO PUEDES CONTRATAR CON $210,000 Y PAGAS LA DIFERENCIA EN 12 MESES. INFORMES Y CITAS AL  /  SR. LEONEL HERNANDEZ email:","Departamento
													
Precio Venta
																	
MN 461,426
75m² Superficie de terreno
75m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: de 10 a 20 años","REMATE BANCARIO DE DEPARTAMENTO EN SEGUNDO PISO,FUNDIDORA MONTERREY, COLONIA PEÑON DE LOS BAÑOS, DELEGAC. VENUSTIANO CARRANZA. SON 75M2, 2 RECÁMARAS, 1 BAÑO, SALA, ESTANCIA-COMEDOR, 1 LUGAR DE ESTACIONAMIENTO. ELEVADOR. ANTIGUEDAD 12 AÑOS. VALOR MINIMO COMERCIAL $1,800.000 PRECIO DE REMATE $461,426 LO PUEDES CONTRATAR CON $210,000 Y PAGAS LA DIFERENCIA EN 12 MESES. INFORMES Y CITAS AL Ver datos / Ver datos SR. LEONEL HERNANDEZ email: Ver datos","/propiedades/remate-de-depa-en-fundidora-monterrey-col.-penon-de-52121887.html","totales","","Centros Comerciales Cercanos 
Escuelas Cercanas","2
			
					Recámaras","75 m²
			totales","_","MN 461,426","Seguridad privada 
Cisterna 
Calentador de agua","Remate de Depa en Fundidora Monterrey, Col. Peñon de Los Baños. Venustiano Car.","FUNDIDORA DE MONTERREY 55, Peñón de los Baños, Venustiano Carranza","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de usos múltiples (SI)","2
		
				Baños","Un nuevo desarrollo inmobiliario que consta de 22 Departamentos en donde el diseño y la comodidad conviven de forma inigualable y se alzan con remarcable presencia sobre una de las zonas más exclusivas de la ciudad. Encuentra la tranquilidad y el confort de un espacio vertical con todos los servicios y amenidades que una vida de vanguardia requiere. AMENIDADES:* Alberca, * Gimnasio, * Terraza Exterior, * Salón de Juegos y Entretenimiento.* Lobby de Acceso Peatonal,* Salón de Eventos con Terraza* Solario en nivel 15SERVICIOS:* 2 Cajones Techados de Estacionamiento por Departamentos, * 9 Cajones para Visitas, * 1 Cajones para Discapacitados, * 1 Bodega por Departamento.* Caseta de Vigilancia Acceso Controlado, * Barda Perimetral, * 2 Elevadores Alta Eficiencia al Interior de Departamento, Los departamentos se entregan llave en mano, incluyendo desde acabados de primera línea, closet, cocina, centro de lavado, canceles duo vent, DEPARTAMENTO DE 113 M2 + 6.5 M2 DE BODEGA:* Sala* Comedor* Cocina* Recamara Principal Baño-Vestidor* Recamara Secundaria comparta Baño con Area Social* Bodega* Los precios del departamento varían a las necesidades del cliente. Se entregan en Noviembre del 2016.Otras Características:Tipo de Aire Acondicionado: Central.","Departamento
													
Precio Venta
																	
MN 4,396,350
113m² Superficie de terreno
113m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: A estrenar","Un nuevo desarrollo inmobiliario que consta de 22 Departamentos en donde el diseño y la comodidad conviven de forma inigualable y se alzan con remarcable presencia sobre una de las zonas más exclusivas de la ciudad. Encuentra la tranquilidad y el confort de un espacio vertical con todos los servicios y amenidades que una vida de vanguardia requiere. AMENIDADES:* Alberca, * Gimnasio, * Terraza Exterior, * Salón de Juegos y Entretenimiento.* Lobby de Acceso Peatonal,* Salón de Eventos con Terraza* Solario en nivel 15SERVICIOS:* 2 Cajones Techados de Estacionamiento por Departamentos, * 9 Cajones para Visitas, * 1 Cajones para Discapacitados, * 1 Bodega por Departamento.* Caseta de Vigilancia Acceso Controlado, * Barda Perimetral, * 2 Elevadores Alta Eficiencia al Interior de Departamento, Los departamentos se entregan llave en mano, incluyendo desde acabados de primera línea, closet, cocina, centro de lavado, canceles duo vent, DEPARTAMENTO DE 113 M2 + 6.5 M2 DE BODEGA:* Sala* Comedor* Cocina* Recamara Principal Baño-Vestidor* Recamara Secundaria comparta Baño con Area Social* Bodega* Los precios del departamento varían a las necesidades del cliente. Se entregan en Noviembre del 2016.Otras Características:Tipo de Aire Acondicionado: Central.","/propiedades/departamentos-en-pre-venta-san-pedro-garza-garcia-988506.html","totales","Asador (SI)
Estacionamiento de visitas (SI)","Elevador(es) (2)
Alberca (SI)
Centros Comerciales Cercanos (SI)
Escuelas Cercanas (SI)
Frente a parque (SI)
Cocina integral (SI)
Estado de conservación (Excelente)","2
			
					Recámaras","113 m²
			totales","_","MN 4,396,350","Gimnasio (SI)","Departamentos en Pre - Venta San Pedro Garza Garcia, N. L.$4","_","_"
"Inmuebles24Item","","1
		
				Baño","Confortable departamento amueblado ideal para ejecutivo foráneo, estudiante y/o pareja, con excelente ubicación de principales avenidas que comunican a la ciudad, universidades, centros comerciales, inmejorable vista panorámica, alarma contra incendios, circuito cerrado y vigilancia 24hrs. Equipado con electrodomésticos de alta tecnología ideales para el ahorro de energía.Otras Características:Tipo de Aire Acondicionado: Minisplit.","Departamento
													
Precio Venta
																	
MN 3,896,880Precio Renta
																	
MN 18,000
1 recamara
1 Baño
Antigüedad: 3 años","Confortable departamento amueblado ideal para ejecutivo foráneo, estudiante y/o pareja, con excelente ubicación de principales avenidas que comunican a la ciudad, universidades, centros comerciales, inmejorable vista panorámica, alarma contra incendios, circuito cerrado y vigilancia 24hrs. Equipado con electrodomésticos de alta tecnología ideales para el ahorro de energía.Otras Características:Tipo de Aire Acondicionado: Minisplit.","/propiedades/venta-renta-departamento-en-micropolis-sur-monterrey-51907681.html","construidos","Estacionamiento de visitas (SI)","Centros Comerciales Cercanos (SI)
Escuelas Cercanas (SI)
Cocina integral (SI)
Número de departamentos (SI)
Ubicación (Interior)","1
			
					recamara","_","_","MN 3,896,880","Gimnasio (SI)
Seguridad privada (SI)","Venta/renta Departamento en Micropolis Sur Monterrey en Zona Tec","_","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de usos múltiples","2
		
				Baños","Departamentos de: 86m2 Desde $2,263,000 95m2 Desde $2,410,000 y 100 m2 APROVECHA PRECIOS PRE-VENTA. Torre 3: Entrega Febrero 2018 Torre 4: Pendiente Excelentes facilidades de pago y mensualidades para el enganche. 10%: Enganche 10%: En 16 Mensualidades 80%: V.S Escrituracion Amenidades Planta alta de cada torre: Espléndida terraza con vista panorámica, sala de cine, bar, gimnasio interior y exterior. Amenidades Generales: 3,400m2 de áreas verdes, Alberca con carril de nado y casa club.","Departamento
													
Precio Venta
																	
MN 2,270,000
86m² Superficie de terreno
86m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: A estrenar","Departamentos de: 86m2 Desde $2,263,000 95m2 Desde $2,410,000 y 100 m2 APROVECHA PRECIOS PRE-VENTA. Torre 3: Entrega Febrero 2018 Torre 4: Pendiente Excelentes facilidades de pago y mensualidades para el enganche. 10%: Enganche 10%: En 16 Mensualidades 80%: V.S Escrituracion Amenidades Planta alta de cada torre: Espléndida terraza con vista panorámica, sala de cine, bar, gimnasio interior y exterior. Amenidades Generales: 3,400m2 de áreas verdes, Alberca con carril de nado y casa club.","/propiedades/pre-venta-departamentos-entrega-feb-2018-51567051.html","totales","Asador 
Estacionamiento de visitas","Elevador(es) (1)
Acceso discapacitados","2
			
					Recámaras","86 m²
			totales","_","MN 2,270,000","Gimnasio 
Línea telefónica 
Seguridad privada 
Calentador de agua 
Área de Juegos Infantiles 
Gas","Pre - Venta Departamentos (Entrega Feb 2018)","Arnulfo, Rincón de las Colinas, Monterrey","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de Fiestas 
Salón de usos múltiples","2
		
				Baños","""DIEZ"", proyecto vertical que está ubicado en la zona más exclusiva de Colinas de San Jerónimo. El proyecto de departamentos consta de dos edificios con 100 unidades en total: 1.- Departamentos de 97 m2 de 2 recámaras y 2 baños completos 2.- Departamentos de 126 m2 de 2 o 3 recámaras y 2 baños completos Amenidades de uso común: Gimnasio, terraza y bar lounge en cada edificio. Adicionalmente el conjunto tendrá alberca con chapoteadero, asoleadero, casa club, terraza lounge, áreas verdes. El desarrollo contará con: -caseta de vigilancia -portones eléctricos -2 elevadores en cada edificio -cisterna con equipo -baños de servicio Los departamentos se entregán en obra blanca, es decir, con puerta principal, ventanas, yeso liso en muros y cielos, preparación para minisplits, contactos, apagadores y rosetas de iluminación. Adicionalmente, estaremos ofreciendo diferentes paquetes de acabados para los departamentos. ENTREGA: Marzo de 2017 PRECIOS DE PREVENTA a partir de $3,100,000 pesos. Las formas de pago son muy amplias, hacemos trajes a la medida en base a las posibilidades financieras del cliente, y tenemos opciones muy interesantes con descuentos muy atractivos.","Departamento
													
Precio Venta
																	
MN 3,100,000
97m² Superficie de terreno
97m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: A estrenar","""DIEZ"", proyecto vertical que está ubicado en la zona más exclusiva de Colinas de San Jerónimo. El proyecto de departamentos consta de dos edificios con 100 unidades en total: 1.- Departamentos de 97 m2 de 2 recámaras y 2 baños completos 2.- Departamentos de 126 m2 de 2 o 3 recámaras y 2 baños completos Amenidades de uso común: Gimnasio, terraza y bar lounge en cada edificio. Adicionalmente el conjunto tendrá alberca con chapoteadero, asoleadero, casa club, terraza lounge, áreas verdes. El desarrollo contará con: -caseta de vigilancia -portones eléctricos -2 elevadores en cada edificio -cisterna con equipo -baños de servicio Los departamentos se entregán en obra blanca, es decir, con puerta principal, ventanas, yeso liso en muros y cielos, preparación para minisplits, contactos, apagadores y rosetas de iluminación. Adicionalmente, estaremos ofreciendo diferentes paquetes de acabados para los departamentos. ENTREGA: Marzo de 2017 PRECIOS DE PREVENTA a partir de $3,100,000 pesos. Las formas de pago son muy amplias, hacemos trajes a la medida en base a las posibilidades financieras del cliente, y tenemos opciones muy interesantes con descuentos muy atractivos.","/propiedades/departamentos-diez-preventa.-colinas-de-san-jeronimo-51536751.html","totales","Asador 
Estacionamiento de visitas","Alberca 
Cuartos de servicio 
Jacuzzi 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Mascotas 
Acceso discapacitados 
Acceso tercera edad","2
			
					Recámaras","97 m²
			totales","_","MN 3,100,000","Gimnasio 
Línea telefónica 
Aire acondicionado 
Seguridad privada 
Cisterna 
Calentador de agua 
Área de Juegos Infantiles 
Gas 
Calefacción","Departamentos Diez, Preventa. Colinas de San Jeronimo","LA VEREDA, Colinas de San Jerónimo, Monterrey","_"
